,Posición,P+,Artista y canción,Dias,Posición más alta (xdias),Streams,Streams+,7Day,7Day+,Total
15,16,-1,KAROL G - Si Antes Te Hubiera Conocido,266,1(x87),"213,327","+5,286","1,534,809","-10,735","140,043,517"
16,17,-3,Bad Bunny - VOY A LLeVARTE PA PR,68,2(x1),"209,438",+772,"1,524,140","-36,684","29,957,326"
17,18,=,Myke Towers - DEGENERE 👑 (w/ benny blanco),147,1(x16),"209,296","+5,073","1,446,969","-2,585","58,992,131"
18,19,-3,Alleh - el ingeniero (w/ Yorghaki),75,10,"204,867","-2,907","1,379,846","-6,755","20,789,409"
19,20,-3,Danny Ocean - Imagínate (w/ Kapo),126,3(x3),"203,603","-3,689","1,390,286","+3,778","32,866,537"
20,21,-1,Rels B - Te Regalo (w/ J Abecia),100,3(x1),"197,871","-4,831","1,446,049","-12,617","23,263,107"
21,22,-1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),119,1(x2),"197,493","-4,572","1,393,410","-18,447","35,990,974"
22,23,+4,Quevedo - HALO (w/ La Pantera),112,6,"194,340","+12,749","1,277,694",-409,"27,809,071"
23,24,+2,Gabry Ponte - Exotica,10,24,"192,489","+4,283","1,163,853","+43,577","1,522,653"
24,25,-2,Yan Block - Yo sé (w/ TORRRES),145,6,"189,862","-4,860","1,352,930","-13,092","36,036,466"
25,26,-4,Alleh - una noche (w/ Yorghaki),74,13,"189,815","-11,206","1,411,610","-41,667","16,602,839"
26,27,-3,Omar Courtz - Q U E V A S H A C E R H O Y ? (w/ De La Rose),175,1(x23),"189,412","-4,363","1,358,509","-19,234","58,107,180"
27,28,=,J Castle - Tokicha (w/ Hades66),17,27,"172,620","+3,933","1,161,807","+15,753","2,268,421"
28,29,=,"Rauw Alejandro - El Efecto - Remix (w/ Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex)",278,25,"160,382","+4,602","1,172,457","-11,882","18,920,489"
29,30,+1,Bad Bunny - EoO,68,9,"153,618","+3,581","1,076,446","-11,813","19,824,047"
30,31,+6,Beéle - sobelove,7,31,"151,889","+9,592","754,280","+151,889","754,280"
31,32,+2,Quevedo - MR. MOONDIAL (w/ Pitbull),113,5,"151,413","+4,480","1,022,422","-14,839","23,905,558"
32,33,+2,ROSÉ - APT. (w/ Bruno Mars),147,22,"150,773","+4,896","1,079,083","+2,244","23,369,493"
33,34,-1,"ROA - ETA - RMX (w/ De La Rose, Luar La L, Yan Block, Omar Courtz)",99,20,"147,230",-727,"1,021,024","-4,923","16,942,872"
34,35,-5,Leiva - Caída Libre (w/ Robe),14,8,"144,082","-7,613","1,100,855","-33,181","2,497,365"
35,36,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),210,23,"143,384",+784,"1,078,573","-10,597","31,553,885"
36,37,-5,"Rvfv - Corazón Puro (w/ Morad, Rels B)",50,7,"140,185","-9,116","1,042,458","-29,358","13,057,633"
37,38,+1,Cano - Se Pone Las Nike,136,4,"138,647","+3,414","1,000,778","-13,866","35,827,943"
38,39,+5,"Jombriel - Parte & Choke (w/ Alex Krack, Jøtta)",94,28,"137,072","+6,471","940,841","+2,596","11,244,353"
39,40,-2,Bad Bunny - KLOuFRENS,68,10,"136,868",-568,"951,318","-6,802","16,500,608"
40,41,NEW,JC Reyes - MUEVE ESE CULO (w/ Gloosito),1,41,"135,095",,"135,095","+135,095","135,095"
41,42,-1,Rauw Alejandro - Khé? (w/ Romeo Santos),119,8,"133,767",+69,"915,191","-1,834","26,553,673"
42,43,=,Moncho Chavea - SE FUE (w/ Morad),84,10,"133,155","+2,172","895,588","-8,276","17,769,016"
43,44,-2,Yan Block - 444 (w/ Panda Black),220,35,"131,796","-1,434","927,332","-7,358","19,704,899"
44,45,=,Doechii - Anxiety,6,45,"131,316","+5,314","581,815","+131,316","581,815"
45,46,-6,Bad Bunny - WELTiTA (w/ Chuwi),68,7,"129,219","-5,974","919,910","-12,176","20,493,228"
46,47,-1,Los Sufridos - Duro De Verdad pt.2 (w/ Bad Gyal),179,1(x3),"127,628","+2,182","887,075","+8,424","48,186,163"
47,48,-1,QVDO - Siete,18,45,"125,252","+4,154","856,005","+5,757","1,776,641"
48,49,NEW,JC Reyes - FLIPA (w/ Dei V),1,49,"122,210",,"122,210","+122,210","122,210"
49,50,-2,La La Love You - El Fin del Mundo (w/ Axolotes Mexicanos),1694,35,"122,092","+1,515","833,592","+16,729","143,061,362"
50,51,-1,Beny Jr - Luna llena,256,4,"118,927","+4,074","829,766","-4,218","58,564,661"
51,52,-3,Feid - LUNA (w/ ATL Jacob),469,2(x12),"116,539","-3,848","875,779","-22,307","134,429,482"
52,53,-1,JC Reyes - STAR,147,7,"115,004","+1,547","808,082","-3,408","31,470,079"
53,54,-1,RØZ - flashes (w/ Yng Lvcas),12,53,"112,029","+6,330","707,571","+29,608","1,036,377"
54,55,-4,Kapo - Aloh Aloh,59,25,"106,807","-7,002","796,357","-31,886","7,627,354"
55,56,-1,"Bizarrap - Luck Ra: Bzrp Music Sessions, Vol. 61 (w/ Luck Ra)",76,11,"102,484",+3,"748,854","-17,149","14,098,910"
56,57,-1,Benson Boone - Beautiful Things,399,17,"102,444","+2,805","696,468","+7,554","46,582,993"
57,58,-4,Manuel Turizo - La Bachata,1022,1(x17),"102,390","-2,653","759,859","-3,480","301,812,160"
58,59,+5,Melendi - Caminando por la vida,1224,52,"98,958","+7,053","655,860","+10,570","74,294,035"
59,60,-1,Dei V - Martini,323,7,"97,391","+1,753","724,629","-10,182","49,046,080"
60,61,+24,JC Reyes - FARDOS (w/ De La Ghetto),379,1(x21),"96,136","+18,200","642,014","+11,400","75,363,040"
61,62,-1,Marta Santos - Algo Sencillito,653,52,"96,123","+3,015","662,503","+8,903","58,955,415"
62,63,+5,Quevedo - CHAPIADORA.COM,112,8,"95,775","+8,725","633,667","-6,698","15,437,958"
63,64,+15,"Sebastian Yatra - VAGABUNDO (w/ Manuel Turizo, Beéle)",672,3(x3),"93,981","+13,608","572,659","+15,798","133,708,753"
64,65,-7,Lady Gaga - Abracadabra,39,24,"91,849","-3,900","646,376","+20,397","4,418,133"
65,66,NEW,JC Reyes - CONTAR (w/ Ozuna),1,66,"91,025",,"91,025","+91,025","91,025"
66,67,-7,Ozuna - Más Que Tú (w/ Kapo),26,51,"90,826","-2,417","657,880","-18,965","2,567,392"
67,68,-5,Kapo - UWAIE,210,2(x25),"89,980","-2,285","622,126","-4,511","46,971,589"
68,69,+4,"Maluma - Cuatro Babys (w/ Trap Capos, Noriel, Bryant Myers, Juhn)",305,52,"89,115","+3,769","588,148","+14,063","10,783,098"
69,70,+5,"Morad - Lo Que Tiene (w/ Beny Jr, Rvfv)",371,5,"87,694","+4,181","586,422",-402,"71,879,993"
70,71,+1,Aitana - SEGUNDO INTENTO,49,16,"87,541",+813,"611,381","-1,398","6,305,211"
71,72,-6,Clarent - IA,147,1(x13),"87,266","-1,751","640,621","-12,583","53,099,880"
72,73,+5,SAIKO - BADGYAL (w/ JC Reyes),322,1(x41),"86,556","+4,776","589,994","+4,567","105,023,652"
73,74,-17,Melendi - Tu jardín con enanitos,1162,53,"86,348","-11,626","609,705","-5,272","53,858,640"
74,75,-8,Bad Bunny - CAFé CON RON (w/ Los Pleneros de la Cresta),68,15,"85,167","-3,418","637,571","-14,067","15,080,377"
75,76,-11,FloyyMenor - PELIGROSA,238,3(x9),"85,020","-6,186","628,515","-4,953","50,445,399"
76,77,-7,Lola Young - Messy,86,70,"84,719","-2,124","573,530","+2,944","7,188,649"
77,78,-16,Quevedo - Columbia,617,1(x60),"84,323","-8,480","640,851","-15,523","195,631,405"
78,79,-10,Gracie Abrams - That’s So True,140,45,"84,163","-2,871","598,603","-7,700","13,933,613"
79,80,-9,Kapo - Ohnana,261,2(x24),"83,712","-3,061","613,980","-36,680","70,341,254"
80,81,+5,"Pepe y Vizio - El Patio (w/ Delaossa, KIDDO)",619,8,"83,393","+6,134","516,713","+8,316","67,455,586"
81,82,NEW,JC Reyes - TOKYO (w/ Galee Galee),1,82,"82,431",,"82,431","+82,431","82,431"
