,ID,Artista_original,Artista_similar,Coincidencia
104,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Cynthia Erivo,0.748126
105,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Doja Cat,0.695204
106,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,The Weeknd & Ariana Grande,0.631172
107,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tate McRae,0.577845
108,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Beyoncé,0.574706
109,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tyla,0.557888
110,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,FLO,0.501236
111,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Victoria Monét,0.473320
112,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Olivia Rodrigo,0.472601
113,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Brandy & Monica,0.471284
114,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Dua Lipa,0.469805
115,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Rihanna,0.468653
116,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Mariah Carey,0.467860
117,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Camila Cabello,0.466526
118,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Summer Walker,0.422526
119,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Nicki Minaj,0.406039
120,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Normani,0.403203
121,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Ariana Grande & Nathan Sykes,0.377122
122,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Billie Eilish,0.369908
123,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Fifth Harmony,0.367006
124,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Addison Rae,0.364158
125,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Destiny's Child,0.362551
126,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Chlöe,0.356047
127,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Chloe x Halle,0.354361
128,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Anitta,0.348756
129,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Halle,0.341530
130,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tinashe,0.338299
131,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Justin Bieber,0.330803
132,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Kehlani,0.329172
133,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Luísa Sonza,0.328461
134,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Coco Jones,0.328416
135,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Nathan Sykes,0.324881
136,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Selena Gomez,0.317426
137,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Kali Uchis,0.310173
138,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jhené Aiko,0.305871
139,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Taylor Swift,0.302364
140,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Melanie Martinez,0.301138
141,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Cassie,0.300073
142,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Zara Larsson,0.299633
143,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Tori Kelly,0.299353
144,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Raye,0.298509
145,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Zendaya,0.298216
146,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Whitney Houston,0.297093
147,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Who Is Fancy,0.296181
148,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Little Mix,0.294092
149,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,JoJo,0.281667
150,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lana Del Rey,0.281501
151,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Katy Perry,0.277305
152,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Ava Max,0.275822
153,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Miley Cyrus,0.275319
154,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Dove Cameron,0.271163
155,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lady Gaga,0.268648
156,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Demi Lovato,0.268367
157,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Victoria Justice,0.263203
158,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Fergie,0.259011
159,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,The Pussycat Dolls,0.256663
160,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Bruno Mars,0.251476
161,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Brandy,0.251274
162,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,pinkpantheress,0.247192
163,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Charli XCX,0.246168
164,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Britney Spears,0.242564
165,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Kim Petras,0.242080
166,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Ciara,0.239435
167,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lauren Jauregui,0.238033
168,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Alina Baraz,0.234015
169,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Meghan Trainor,0.230661
170,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jade,0.228443
171,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Doja Cat & The Weeknd,0.226279
172,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Christina Aguilera,0.222404
